,Iteration,Delegation Time Taken,Delegation Memory Usage,Delegation CPU Usage,Verification Time Taken,Verification Memory Usage,Verification CPU Usage,Retrieval Time Taken,Retrieval Memory Usage,Retrieval CPU Usage
5,5,3.7827500000130385,57.5625,0.0,2.9951250000158325,57.578125,0.0,2.856082999962382,57.578125,0.0
6,6,3.549416000023484,61.15625,0.0,2.8973750000004657,61.171875,0.0,2.6389999999664724,61.171875,0.0
8,8,3.832999999984167,61.578125,0.0,3.06150000001071,61.59375,0.0,2.460209000040777,61.59375,0.0
9,9,3.753958999994211,61.859375,0.0,2.9087500000023283,61.890625,0.0,2.363167000003159,61.890625,0.0
10,10,3.776750000019092,62.109375,0.0,2.8340409999946132,62.34375,0.0,2.9725840000319295,62.34375,0.0
12,12,3.884582999977283,62.921875,0.0,2.764499999990221,63.09375,0.0,2.6480829999782145,63.09375,0.0
13,13,3.4369170000427403,63.171875,0.0,2.7208340000361204,63.1875,0.0,2.436042000015732,63.1875,0.0
15,15,3.527459000004455,63.484375,0.0,2.9172909999615513,63.5625,0.0,2.9821249999804422,63.5625,0.0
16,16,3.6692499999771826,63.625,0.0,3.06150000001071,63.734375,0.0,2.481207999982871,63.734375,0.0
17,17,3.4187500000116415,63.875,0.0,2.7632919999887235,63.875,0.0,2.284749999991618,63.875,0.0
19,19,3.366416000004392,64.140625,0.0,2.767208999954164,64.140625,0.0,2.632500000006985,64.140625,0.0
20,20,3.747916999971494,64.1875,0.0,2.743125000037253,64.1875,0.0,2.4249580000177957,64.1875,0.0
21,21,3.3537920000380836,64.28125,0.0,2.790999999968335,64.28125,0.0,2.342166999995243,64.28125,0.0
22,22,3.5324169999803416,64.75,0.0,2.8924999999580905,65.59375,0.0,2.4637499999953434,65.59375,0.0
23,23,3.384375000023283,65.59375,0.0,2.763042000005953,65.59375,0.0,2.300082999980077,65.59375,0.0
24,24,3.8829590000095777,65.765625,0.0,2.744208999967668,65.765625,0.0,2.8204580000019632,65.765625,0.0
26,26,3.5166669999598525,65.890625,0.0,2.7512920000008307,65.984375,0.0,2.475374999979977,65.984375,0.0
27,27,3.414165999973193,66.0,0.0,2.788541999994777,66.015625,0.0,2.2899160000379197,66.015625,0.0
28,28,3.824583999987226,66.28125,0.0,2.7661669999943115,66.28125,0.0,2.1004589999793097,66.28125,0.0
29,29,3.325708999997005,66.421875,0.0,2.76458299998194,66.4375,0.0,1.781457999954,66.4375,0.0
30,30,3.638416000001598,66.4375,0.0,2.785666999989189,66.609375,0.0,2.4626249999855645,66.609375,0.0
31,31,3.3652089999523014,66.984375,0.0,2.752290999982506,66.984375,0.0,2.3518330000224523,66.984375,0.0
32,32,3.6848750000353903,67.015625,0.0,2.678874999983236,67.015625,0.0,2.7681250000023283,67.015625,0.0
33,33,3.37337500002468,67.1875,0.0,2.7942909999983385,67.1875,0.0,2.190375000005588,67.1875,0.0
37,37,3.5383750000037253,67.609375,0.0,2.8908749999827705,67.609375,0.0,2.2950829999754205,67.609375,0.0
38,38,3.805500000016764,67.65625,0.0,2.926207999989856,67.65625,0.0,2.740332999965176,67.65625,0.0
39,39,3.683582999976352,67.671875,0.0,2.838041999959387,67.671875,0.0,2.2607500000158325,67.671875,0.0
40,40,3.665042000007816,67.671875,0.0,2.818457999965176,67.703125,0.0,2.2764169999863952,67.703125,0.0
42,42,3.503125000046566,87.140625,0.0,2.7334159999736585,87.140625,0.0,2.4290409999666736,87.140625,0.0
43,43,3.4999170000082813,87.140625,0.0,2.7800830000196584,87.140625,0.0,2.222999999998138,87.140625,0.0
44,44,3.5788749999483116,87.140625,0.0,2.7550829999963753,87.140625,0.0,2.2199999999720603,87.140625,0.0
45,45,3.5615840000100434,87.140625,0.0,2.7339999999967404,87.140625,0.0,2.560957999958191,87.140625,0.0
46,46,3.3945829999865964,87.140625,0.0,2.838374999992084,87.375,0.0,2.4127080000471324,87.375,0.0
47,47,3.34066599997459,87.375,0.0,2.8252080000238493,87.375,0.0,2.4073329999810085,87.375,0.0
48,48,3.20412499998929,87.375,0.0,2.9355000000214204,87.375,0.0,2.5509170000441372,87.375,0.0
50,50,3.2525840000016615,87.4375,0.0,2.7075000000186265,87.4375,0.0,2.4499160000123084,87.4375,0.0
52,52,3.461542000004556,87.53125,0.0,2.712999999988824,87.53125,0.0,2.3708329999935813,87.53125,0.0
53,53,3.581917000003159,87.78125,0.0,2.759250000002794,87.78125,0.0,2.4292920000152662,87.78125,0.0
54,54,3.4193749999976717,87.78125,0.0,2.689667000027839,87.78125,0.0,2.344833000039216,87.78125,0.0
55,55,3.3902909999596886,87.78125,0.0,2.6790840000030585,87.78125,0.0,2.1942919999710284,87.78125,0.0
56,56,3.324416999996174,87.78125,0.0,2.798958000028506,87.859375,0.0,2.1473750000004657,87.859375,0.0
57,57,3.2390830000513233,87.859375,0.0,2.690500000026077,87.859375,0.0,2.2471659999573603,87.859375,0.0
58,58,3.3132500000065193,87.859375,0.0,2.77070900000399,87.859375,0.0,2.1065829999861307,87.859375,0.0
59,59,3.3873339999699965,87.875,0.0,2.7107919999980368,87.875,0.0,2.3287920000148006,87.875,0.0
60,60,3.3404999999911524,87.875,0.0,2.7457919999724254,87.875,0.0,2.298291999963112,87.875,0.0
