,Iteration,Delegation Time Taken,Delegation Memory Usage,Delegation CPU Usage,Verification Time Taken,Verification Memory Usage,Verification CPU Usage,Retrieval Time Taken,Retrieval Memory Usage,Retrieval CPU Usage
9,9,3.6595830000005662,73.1875,0.0,2.934791999985464,73.1875,0.0,2.253000000026077,73.1875,0.0
10,10,3.790416000061669,73.1875,0.0,2.9544159999350086,73.1875,0.0,2.01929199998267,73.1875,0.0
11,11,3.6167920000152662,73.1875,0.0,3.0460840000305325,73.1875,0.0,1.7442080000182614,73.1875,0.0
12,12,3.7714590000687167,74.078125,0.0,2.955750000081025,74.34375,0.0,2.3981659999117255,74.34375,0.0
14,14,3.6019999999552965,74.4375,0.0,3.071583000011742,74.4375,0.0,1.6163749999832362,74.4375,0.0
15,15,3.793959000031464,74.46875,0.0,3.0677079999586567,74.484375,0.0,1.665082999970764,74.484375,0.0
16,16,3.621416999958456,74.484375,0.0,3.1310419999063015,75.046875,0.0,2.5002910000039265,75.046875,0.0
17,17,3.3942909999750555,75.046875,0.0,2.919584000017494,75.046875,0.0,2.7869169999612495,75.046875,0.0
18,18,3.57341599999927,75.0625,0.0,3.0583750000223517,75.0625,0.0,2.7696250000735745,75.0625,0.0
20,20,3.799457999994047,75.140625,0.0,3.0292080000508577,75.140625,0.0,2.786208000034094,75.140625,0.0
21,21,3.44116699998267,75.71875,0.0,3.1454580000136048,75.734375,0.0,2.377749999985099,75.734375,0.0
22,22,3.4414579999865964,75.78125,0.0,3.102040999918245,75.78125,0.0,2.607833999907598,75.78125,0.0
23,23,3.486750000040047,75.796875,0.0,2.914290999993682,75.796875,0.0,2.3873749999329448,75.796875,0.0
25,25,3.4540000000270084,75.8125,0.0,3.0013749999925494,76.40625,0.0,2.2762080000247806,76.40625,0.0
26,26,3.4733749999431893,76.40625,0.0,3.0017090000910684,76.421875,0.0,1.784334000083618,76.421875,0.0
28,28,3.455291999969631,76.4375,0.0,2.9857080000219867,76.453125,0.0,2.755750000011176,76.453125,0.0
29,29,3.5513329999521375,76.484375,0.0,2.911500000045635,76.5,0.0,2.1142080000136048,76.5,0.0
30,30,3.474790999898687,77.296875,0.0,2.9682920000050217,77.296875,0.0,2.243667000089772,77.296875,0.0
31,31,3.4822500000009313,77.296875,0.0,2.8657080000266433,77.296875,0.0,2.5083749999757856,77.296875,0.0
32,32,3.4050419999985024,77.3125,0.0,2.8926249999785796,77.3125,0.0,2.4534580000909045,77.3125,0.0
33,33,3.5123749999329448,77.359375,0.0,3.0160419999156147,77.375,0.0,2.549957999959588,77.375,0.0
