,Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
1,1,573969.0999999642,574005.6999999881,36.60000002384186,574092.8999999762,574195.6999999881,102.80000001192091,139.4000000357628
2,2,574195.7999999523,574241.1999999881,45.40000003576279,574408.0,574509.0,101.0,146.4000000357628
3,3,574509.0999999642,574555.7999999523,46.69999998807907,574660.1999999881,574780.7999999523,120.5999999642372,167.29999995231628
4,4,574781.0,574824.1999999881,43.19999998807907,575015.5999999642,575117.3999999762,101.80000001192091,145.0
5,5,575117.5,575159.3999999762,41.89999997615814,575255.6999999881,575367.7999999523,112.0999999642372,153.99999994039536
6,6,575367.7999999523,575410.5999999642,42.80000001192093,575533.8999999762,575635.3999999762,101.5,144.30000001192093
7,7,575635.5999999642,575677.2999999523,41.69999998807907,575773.1999999881,575874.3999999762,101.19999998807909,142.89999997615814
8,8,575874.3999999762,575917.0,42.60000002384186,576033.0999999642,576135.5,102.4000000357628,145.00000005960464
9,9,576135.6999999881,576173.0,37.30000001192093,576267.5,576374.0,106.5,143.80000001192093
11,11,576680.2999999523,576722.3999999762,42.10000002384186,576823.5,576926.8999999762,103.39999997615814,145.5
14,14,577551.6999999881,577594.1999999881,42.5,577698.3999999762,577802.5,104.10000002384186,146.60000002384186
15,15,577802.5999999642,577849.6999999881,47.10000002384186,577954.0999999642,578069.2999999523,115.19999998807909,162.30000001192093
17,17,578393.0999999642,578442.5,49.40000003576279,578612.8999999762,578716.8999999762,104.0,153.4000000357628
20,20,579309.0,579358.3999999762,49.39999997615814,579467.6999999881,579579.8999999762,112.19999998807909,161.5999999642372
21,21,579580.0999999642,579621.8999999762,41.80000001192093,579724.6999999881,579839.3999999762,114.69999998807909,156.5
22,22,579839.5999999642,579880.7999999523,41.19999998807907,579982.0999999642,580089.7999999523,107.69999998807909,148.89999997615814
24,24,580422.8999999762,580470.0,47.10000002384186,580569.7999999523,580680.5999999642,110.80000001192091,157.9000000357628
25,25,580680.6999999881,580721.7999999523,41.09999996423721,580832.0,580947.1999999881,115.19999998807909,156.29999995231628
26,26,580947.2999999523,580989.2999999523,42.0,581092.8999999762,581200.1999999881,107.30000001192091,149.30000001192093
27,27,581200.3999999762,581244.5999999642,44.19999998807907,581343.2999999523,581458.2999999523,115.0,159.19999998807907
28,28,581458.3999999762,581500.0,41.60000002384186,581614.8999999762,581728.5999999642,113.69999998807909,155.30000001192093
29,29,581728.7999999523,581773.7999999523,45.0,581880.3999999762,581992.0999999642,111.69999998807909,156.69999998807907
