,Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
2,2,5023.300000011921,5110.800000011921,87.5,5183.400000035763,5267.100000023842,83.69999998807907,171.19999998807907
3,3,5267.100000023842,5350.800000011921,83.69999998807907,5424.400000035763,5508.600000023842,84.19999998807907,167.89999997615814
4,4,5508.600000023842,5591.700000047684,83.10000002384186,5713.600000023842,5797.300000011921,83.69999998807907,166.80000001192093
5,5,5797.400000035763,5880.700000047684,83.30000001192093,5954.600000023842,6038.600000023842,84.0,167.30000001192093
6,6,6038.800000011921,6122.300000011921,83.5,6195.200000047684,6279.100000023842,83.89999997615814,167.39999997615814
7,7,6279.100000023842,6362.300000011921,83.19999998807907,6435.600000023842,6519.0,83.39999997615814,166.5999999642372
8,8,6519.100000023842,6603.400000035763,84.30000001192093,6675.100000023842,6759.5,84.39999997615814,168.69999998807907
13,13,7833.800000011921,7916.600000023842,82.80000001192093,7990.5,8073.800000011921,83.30000001192093,166.10000002384186
16,16,8613.100000023842,8698.5,85.39999997615814,8771.600000023842,8855.300000011921,83.69999998807907,169.0999999642372
17,17,8855.5,8938.100000023842,82.60000002384186,9011.5,9095.400000035765,83.90000003576279,166.50000005960464
18,18,9095.5,9179.100000023842,83.60000002384186,9256.200000047684,9339.30000001192,83.09999996423721,166.69999998807907
19,19,9339.400000035765,9425.30000001192,85.89999997615814,9528.700000047684,9614.600000023842,85.89999997615814,171.79999995231628
21,21,9900.600000023842,9984.600000023842,84.0,10057.100000023842,10142.0,84.89999997615814,168.89999997615814
23,23,10478.600000023842,10563.5,84.89999997615814,10635.30000001192,10720.100000023842,84.80000001192093,169.69999998807907
24,24,10720.200000047684,10804.600000023842,84.39999997615814,10878.30000001192,10961.700000047684,83.40000003576279,167.80000001192093
26,26,11260.700000047684,11345.5,84.79999995231628,11420.700000047684,11504.80000001192,84.09999996423721,168.8999999165535
27,27,11504.900000035765,11588.0,83.09999996423721,11660.100000023842,11744.30000001192,84.19999998807907,167.29999995231628
28,28,11744.30000001192,11828.5,84.19999998807907,11901.5,11985.80000001192,84.30000001192093,168.5
29,29,11985.80000001192,12068.900000035765,83.10000002384186,12141.80000001192,12225.900000035765,84.10000002384186,167.20000004768372
31,31,12522.80000001192,12605.400000035765,82.60000002384186,12678.400000035765,12761.5,83.09999996423721,165.69999998807907
32,32,12761.600000023842,12844.80000001192,83.19999998807907,12917.5,13002.80000001192,85.30000001192093,168.5
33,33,13002.80000001192,13086.400000035765,83.60000002384186,13158.200000047684,13241.30000001192,83.09999996423721,166.69999998807907
34,34,13241.30000001192,13326.400000035765,85.10000002384186,13400.5,13486.400000035765,85.90000003576279,171.00000005960464
36,36,13773.100000023842,13857.200000047684,84.10000002384186,13930.5,14013.80000001192,83.30000001192093,167.4000000357628
37,37,14013.900000035765,14097.30000001192,83.39999997615814,14170.400000035765,14253.30000001192,82.89999997615814,166.29999995231628
39,39,14506.80000001192,14591.900000035765,85.10000002384186,14669.400000035765,14755.0,85.59999996423721,170.69999998807907
41,41,15061.700000047684,15145.30000001192,83.59999996423721,15217.600000023842,15302.5,84.89999997615814,168.49999994039536
42,42,15302.5,15387.80000001192,85.30000001192093,15459.100000023842,15543.200000047684,84.10000002384186,169.4000000357628
43,43,15543.200000047684,15629.900000035765,86.69999998807907,15702.900000035765,15787.0,84.09999996423721,170.79999995231628
44,44,15787.100000023842,15869.900000035765,82.80000001192093,15941.100000023842,16024.200000047684,83.10000002384186,165.9000000357628
45,45,16024.30000001192,16107.400000035765,83.10000002384186,16182.30000001192,16266.600000023842,84.30000001192093,167.4000000357628
47,47,16549.80000001192,16632.100000023842,82.30000001192093,16704.80000001192,16787.900000035763,83.10000002384186,165.4000000357628
48,48,16788.0,16871.200000047684,83.20000004768372,16943.700000047684,17027.80000001192,84.09999996423721,167.30000001192093
49,49,17028.0,17110.900000035763,82.90000003576279,17183.700000047684,17266.100000023842,82.39999997615814,165.30000001192093
50,50,17266.100000023842,17348.80000001192,82.69999998807907,17421.200000047684,17504.600000023842,83.39999997615814,166.0999999642372
51,51,17504.700000047684,17586.700000047684,82.0,17704.400000035763,17788.80000001192,84.39999997615814,166.39999997615814
52,52,17788.80000001192,17872.600000023842,83.80000001192093,17943.5,18026.700000047684,83.20000004768372,167.00000005960464
53,53,18026.80000001192,18111.10000002384,84.30000001192093,18184.400000035763,18268.10000002384,83.69999998807907,168.0
54,54,18268.200000047684,18352.80000001192,84.59999996423721,18426.10000002384,18513.0,86.89999997615814,171.49999994039536
55,55,18513.0,18597.400000035763,84.40000003576279,18670.900000035763,18754.900000035763,84.0,168.4000000357628
56,56,18755.0,18838.0,83.0,18953.80000001192,19037.400000035763,83.60000002384186,166.60000002384186
57,57,19037.5,19120.0,82.5,19202.200000047684,19286.10000002384,83.89999997615814,166.39999997615814
60,60,19782.10000002384,19864.400000035763,82.30000001192093,19938.30000001192,20022.700000047684,84.40000003576279,166.70000004768372
61,61,20022.80000001192,20105.400000035763,82.60000002384186,20221.900000035763,20306.200000047684,84.30000001192093,166.9000000357628
62,62,20306.30000001192,20390.60000002384,84.30000001192093,20464.30000001192,20548.60000002384,84.30000001192093,168.60000002384186
63,63,20548.700000047684,20633.60000002384,84.89999997615814,20707.10000002384,20790.80000001192,83.69999998807907,168.5999999642372
