,Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
22,22,848905.8999999762,849440.0999999642,534.1999999880791,849442.5,854365.1999999881,4922.699999988079,5456.899999976158
23,23,854365.1999999881,854883.1999999881,518.0,854888.0999999642,858567.0999999642,3679.0,4197.0
24,24,858567.0999999642,859137.7999999523,570.6999999880791,859140.6999999881,863170.7999999523,4030.099999964237,4600.799999952316
25,25,863170.7999999523,863691.3999999762,520.6000000238419,863695.7999999523,868255.3999999762,4559.600000023842,5080.200000047684
26,26,868255.3999999762,868867.7999999523,612.3999999761581,868872.0,873264.5,4392.5,5004.899999976158
27,27,873264.5,873772.6999999881,508.199999988079,873776.1999999881,878208.2999999523,4432.099999964237,4940.299999952316
28,28,878208.2999999523,878801.5999999642,593.3000000119209,878805.7999999523,883131.2999999523,4325.5,4918.800000011921
29,29,883131.2999999523,883718.2999999523,587.0,883722.3999999762,888706.3999999762,4984.0,5571.0
30,30,888706.5,889371.7999999523,665.2999999523163,889376.0999999642,893745.7999999523,4369.699999988079,5034.999999940395
31,31,893745.7999999523,894359.2999999523,613.5,894360.8999999762,898105.5,3744.600000023842,4358.100000023842
32,32,898105.5,898722.5999999642,617.0999999642372,898727.0,902740.0999999642,4013.099999964237,4630.199999928474
33,33,902740.0999999642,903305.8999999762,565.8000000119209,903309.5999999642,907217.3999999762,3907.800000011921,4473.600000023842
34,34,907217.3999999762,907736.699999988,519.3000000119209,907741.0,911298.0,3557.0,4076.300000011921
35,35,911298.0999999642,911807.5999999642,509.5,911811.7999999524,915757.699999988,3945.900000035763,4455.400000035763
36,36,915757.7999999524,916273.7999999524,516.0,916276.7999999524,919857.2999999524,3580.5,4096.5
37,37,919857.2999999524,920395.3999999762,538.1000000238419,920399.2999999524,924577.8999999762,4178.600000023842,4716.700000047684
38,38,924577.8999999762,925128.5999999642,550.6999999880791,925132.8999999762,928801.2999999524,3668.399999976158,4219.099999964237
39,39,928801.3999999762,929309.2999999524,507.89999997615814,929311.0999999642,933348.699999988,4037.600000023842,4545.5
40,40,933348.699999988,933877.0,528.3000000119209,933881.5999999642,938213.0,4331.400000035763,4859.700000047684
41,41,938213.0,938809.0,596.0,938813.0,942779.5,3966.5,4562.5
42,42,942779.5,943305.7999999524,526.2999999523163,943309.2999999524,947298.3999999762,3989.100000023842,4515.399999976158
43,43,947298.3999999762,947817.8999999762,519.5,947820.7999999524,951843.5,4022.700000047684,4542.200000047684
