Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
0,13721.399999976158,13837.100000023842,115.70000004768372,13929.199999988079,14276.600000023842,347.4000000357628,463.1000000834465
1,14277.199999988079,14382.699999988079,105.5,14472.399999976158,14707.800000011921,235.4000000357628,340.9000000357628
2,14708.100000023842,14943.300000011921,235.19999998807907,15038.100000023842,15252.199999988079,214.0999999642372,449.2999999523163
3,15252.600000023842,15353.899999976158,101.29999995231628,15447.5,15707.800000011921,260.30000001192093,361.5999999642372
4,15708.399999976158,15946.100000023842,237.70000004768372,16110.899999976158,16467.5,356.60000002384186,594.3000000715256
5,16469.19999998808,16599.30000001192,130.10000002384186,16692.19999998808,16895.69999998808,203.5,333.60000002384186
6,16895.80000001192,17107.80000001192,212,17198.30000001192,17737.30000001192,539,751
7,17737.5,17870.5,133,17957.5,18149.5,192,325
8,18149.69999998808,18253.5,103.80000001192093,18338.399999976158,18527.19999998808,188.80000001192093,292.60000002384186
9,18527.399999976158,18631.100000023842,103.70000004768372,18721.30000001192,19019.69999998808,298.39999997615814,402.10000002384186
10,19020.100000023842,19134.80000001192,114.69999998807907,19236,19512.600000023842,276.60000002384186,391.30000001192093
11,19512.600000023842,19629.5,116.89999997615814,19756.899999976158,19981.399999976158,224.5,341.39999997615814
12,19981.5,20099.100000023842,117.60000002384186,20211.30000001192,20463.69999998808,252.39999997615814,370
13,20463.80000001192,20573.100000023842,109.30000001192093,20679.19999998808,21008.19999998808,329,438.30000001192093
14,21008.30000001192,21128.899999976158,120.59999996423721,21238.100000023842,21871.5,633.3999999761581,753.9999999403954
15,21872.80000001192,22299.5,426.69999998807907,22551.899999976158,23208.69999998808,656.8000000119209,1083.5
16,23209.69999998808,23550.30000001192,340.60000002384186,23698,23919.600000023842,221.60000002384186,562.2000000476837
17,23919.80000001192,24028.600000023842,108.80000001192093,24123.600000023842,24498.899999976158,375.2999999523163,484.0999999642372
18,24499,24616.80000001192,117.80000001192093,24720.100000023842,25151.19999998808,431.0999999642372,548.8999999761581
19,25151.5,25496.899999976158,345.39999997615814,25761.80000001192,26252.600000023842,490.80000001192093,836.1999999880791
20,26253.19999998808,26435.100000023842,181.9000000357628,26578.80000001192,26805.30000001192,226.5,408.4000000357628
21,26805.399999976158,26940.899999976158,135.5,27166.69999998808,27621.399999976158,454.69999998807907,590.1999999880791
22,27621.899999976158,28273.80000001192,651.9000000357628,28674.899999976158,29597.19999998808,922.3000000119209,1574.2000000476837
23,29601.30000001192,29931.100000023842,329.80000001192093,30203.399999976158,30954.399999976158,751,1080.800000011921
24,30955.80000001192,31432.80000001192,477,31702.30000001192,32681.399999976158,979.0999999642372,1456.0999999642372
25,32686.100000023842,33685.5,999.3999999761581,34061.30000001192,34729.60000002384,668.3000000119209,1667.699999988079
26,34731.5,35056.60000002384,325.10000002384186,35446.30000001192,36205.10000002384,758.8000000119209,1083.9000000357628
27,36205.60000002384,36497.30000001192,291.69999998807907,36874.10000002384,37441.19999998808,567.0999999642372,858.7999999523163
28,37441.89999997616,37877.89999997616,436,38195.10000002384,38724.30000001192,529.1999999880791,965.1999999880791
29,38725.69999998808,39729.69999998808,1004,40134.30000001192,40822.89999997616,688.5999999642372,1692.5999999642372
30,40823.69999998808,41163.69999998808,340,41565.30000001192,42328.89999997616,763.5999999642372,1103.5999999642372
31,42333,42749.39999997616,416.39999997615814,43071.19999998808,43653.39999997616,582.1999999880791,998.5999999642372
32,43654.60000002384,44186.30000001192,531.6999999880791,44409.60000002384,45462.10000002384,1052.5,1584.199999988079
33,45469.60000002384,46221.60000002384,752,46957.5,47512.60000002384,555.1000000238419,1307.1000000238419
34,47514.69999998808,47912.10000002384,397.4000000357628,48259.89999997616,48700,440.10000002384186,837.5000000596046
35,48701,48873,172,48996.60000002384,49196.60000002384,200,372
36,49196.80000001192,49286.89999997616,90.09999996423721,49382.10000002384,49633.39999997616,251.29999995231628,341.3999999165535
37,49633.5,49731.89999997616,98.39999997615814,49814.80000001192,49995.30000001192,180.5,278.89999997615814
38,49995.39999997616,50089.19999998808,93.80000001192093,50167.19999998808,50354.89999997616,187.69999998807907,281.5
39,50355,50455.10000002384,100.10000002384186,50537.30000001192,50723.30000001192,186,286.10000002384186
40,50723.39999997616,50825,101.60000002384186,50908.5,51130.5,222,323.60000002384186
41,51131,51222.10000002384,91.10000002384186,51302.39999997616,51493.30000001192,190.9000000357628,282.00000005960464
42,51493.5,51586.89999997616,93.39999997615814,51666.19999998808,51843.60000002384,177.4000000357628,270.80000001192093
43,51843.80000001192,51937.19999998808,93.39999997615814,52022.89999997616,52220.69999998808,197.80000001192093,291.19999998807907
44,52220.89999997616,52311.39999997616,90.5,52391.39999997616,52608.10000002384,216.70000004768372,307.2000000476837
45,52608.30000001192,52698.80000001192,90.5,52777.80000001192,52952.5,174.69999998807907,265.19999998807907
46,52952.69999998808,53044.89999997616,92.19999998807907,53125.10000002384,53302.5,177.39999997615814,269.5999999642372
47,53302.69999998808,53401,98.30000001192093,53480.80000001192,53667.10000002384,186.30000001192093,284.60000002384186
48,53667.30000001192,53760.19999998808,92.89999997615814,53954.80000001192,54174.39999997616,219.5999999642372,312.49999994039536
49,54174.5,54285.5,111,54383,54579.89999997616,196.89999997615814,307.89999997615814
50,54580,54680.69999998808,100.69999998807907,54761.60000002384,54937.60000002384,176,276.69999998807907
51,54937.89999997616,55029.5,91.60000002384186,55109.60000002384,55284,174.39999997615814,266
52,55284.10000002384,55417.89999997616,133.79999995231628,55497.30000001192,55675.10000002384,177.80000001192093,311.5999999642372
53,55675.30000001192,55764.80000001192,89.5,55850.19999998808,56032.30000001192,182.10000002384186,271.60000002384186
54,56032.39999997616,56133.89999997616,101.5,56228.39999997616,56407.30000001192,178.9000000357628,280.4000000357628
55,56407.5,56507.19999998808,99.69999998807907,56584.69999998808,56765.39999997616,180.69999998807907,280.39999997615814
56,56765.5,56903.69999998808,138.19999998807907,56984.19999998808,57259,274.80000001192093,413
57,57259,57364.60000002384,105.60000002384186,57442.69999998808,57620,177.30000001192093,282.9000000357628
58,57620.19999998808,57709.60000002384,89.40000003576279,57791.10000002384,57965.19999998808,174.0999999642372,263.5
59,57965.39999997616,58054.89999997616,89.5,58135.30000001192,58355.80000001192,220.5,310
60,58356.10000002384,58446.60000002384,90.5,58527,58699.10000002384,172.10000002384186,262.60000002384186
61,58699.30000001192,58790.5,91.19999998807907,58870.10000002384,59055.5,185.39999997615814,276.5999999642372
62,59055.69999998808,59155,99.30000001192093,59235.39999997616,59415.19999998808,179.80000001192093,279.10000002384186
63,59415.39999997616,59506.19999998808,90.80000001192093,59584.60000002384,59802.89999997616,218.29999995231628,309.0999999642372
64,59803.10000002384,59907.10000002384,104,59985.39999997616,60158,172.60000002384186,276.60000002384186
65,60158,60251.60000002384,93.60000002384186,60333.39999997616,60510.10000002384,176.70000004768372,270.3000000715256
66,60510.39999997616,60604.69999998808,94.30000001192093,60682.80000001192,60857.80000001192,175,269.30000001192093
67,60858,60952.60000002384,94.60000002384186,61030.89999997616,61247,216.10000002384186,310.7000000476837
68,61247.19999998808,61341.5,94.30000001192093,61423.19999998808,61596.30000001192,173.10000002384186,267.4000000357628
69,61596.5,61688.5,92,61767.39999997616,61943.39999997616,176,268
70,61943.5,62052.39999997616,108.89999997615814,62134.10000002384,62321.5,187.39999997615814,296.2999999523163
71,62321.60000002384,62422.69999998808,101.09999996423721,62546.60000002384,62721.69999998808,175.0999999642372,276.1999999284744
72,62721.89999997616,62812.5,90.60000002384186,62896.39999997616,63071.60000002384,175.20000004768372,265.8000000715256
73,63071.80000001192,63163.60000002384,91.80000001192093,63246.10000002384,63422.69999998808,176.5999999642372,268.39999997615814
74,63422.80000001192,63512.10000002384,89.30000001192093,63591.30000001192,63766.5,175.19999998807907,264.5
75,63766.69999998808,63907.19999998808,140.5,63986.5,64161.39999997616,174.89999997615814,315.39999997615814
76,64161.5,64262.10000002384,100.60000002384186,64341,64517,176,276.60000002384186
77,64517.10000002384,64608.10000002384,91,64688.10000002384,64862,173.89999997615814,264.89999997615814
78,64862.19999998808,64955.30000001192,93.10000002384186,65033.30000001192,65209.80000001192,176.5,269.60000002384186
79,65210,65344.80000001192,134.80000001192093,65425.89999997616,65600.39999997616,174.5,309.30000001192093
80,65600.69999998808,65690.69999998808,90,65770.5,65943.39999997616,172.89999997615814,262.89999997615814
81,65943.5,66037.60000002384,94.10000002384186,66117.60000002384,66292.5,174.89999997615814,269
82,66292.69999998808,66383.5,90.80000001192093,66466,66683,217,307.80000001192093
83,66683.10000002384,66775.5,92.39999997615814,66853.80000001192,67026.39999997616,172.5999999642372,264.99999994039536
84,67026.60000002384,67116.5,89.89999997615814,67193.80000001192,67369,175.19999998807907,265.0999999642372
85,67369.10000002384,67460,90.89999997615814,67538.39999997616,67710.80000001192,172.4000000357628,263.30000001192093
86,67710.89999997616,67805.69999998808,94.80000001192093,67884.80000001192,68106.5,221.69999998807907,316.5
87,68106.80000001192,68201.10000002384,94.30000001192093,68280.19999998808,68454,173.80000001192093,268.10000002384186
88,68454.10000002384,68544.60000002384,90.5,68623.10000002384,68802.19999998808,179.0999999642372,269.5999999642372
89,68802.39999997616,68896.19999998808,93.80000001192093,68975.19999998808,69149.10000002384,173.9000000357628,267.7000000476837
90,69149.30000001192,69239.89999997616,90.59999996423721,69339.5,69567.60000002384,228.10000002384186,318.69999998807907
91,69568,69658.30000001192,90.30000001192093,69741.19999998808,69913.69999998808,172.5,262.80000001192093
92,69914,70006,92,70085,70262.89999997616,177.89999997615814,269.89999997615814
93,70262.89999997616,70388.10000002384,125.20000004768372,70472.60000002384,70647.19999998808,174.5999999642372,299.80000001192093
94,70647.30000001192,70739.39999997616,92.09999996423721,70816.60000002384,71043.80000001192,227.19999998807907,319.2999999523163
95,71043.89999997616,71137.19999998808,93.30000001192093,71216.19999998808,71400.80000001192,184.60000002384186,277.9000000357628
96,71401,71495.30000001192,94.30000001192093,71574.10000002384,71752.30000001192,178.19999998807907,272.5
