Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
0,668340.5999999642,671245.8999999762,2905.300000011921,671253,678925.0999999642,7672.099999964237,10577.399999976158
1,678925.2999999523,679530.8999999762,605.6000000238419,679533.5,686746.5999999642,7213.099999964237,7818.699999988079
2,686746.5999999642,687265.1999999881,518.6000000238419,687270.0999999642,694890.6999999881,7620.600000023842,8139.200000047684
3,694890.6999999881,695402.0999999642,511.39999997615814,695404,702806.2999999523,7402.299999952316,7913.699999928474
4,702806.2999999523,703386.8999999762,580.6000000238419,703388.5,709840.0999999642,6451.599999964237,7032.199999988079
5,709840.0999999642,710353,512.9000000357628,710354.5999999642,718850.5999999642,8496,9008.900000035763
6,718850.5999999642,719465.1999999881,614.6000000238419,719466.7999999523,726303.6999999881,6836.900000035763,7451.500000059605
7,726303.6999999881,726840.7999999523,537.0999999642372,726845.3999999762,732770.6999999881,5925.300000011921,6462.399999976158
8,732770.7999999523,733393.6999999881,622.9000000357628,733395.3999999762,739730.1999999881,6334.800000011921,6957.700000047684
9,739730.1999999881,740352.5,622.3000000119209,740354.2999999523,748955.7999999523,8601.5,9223.800000011921
10,748955.7999999523,749572.7999999523,617,749576.6999999881,757871,8294.300000011921,8911.300000011921
11,757871,758483.5999999642,612.5999999642372,758485.2999999523,764838.5,6353.200000047684,6965.800000011921
12,764838.5999999642,765347.5,508.9000000357628,765349.5,773903,8553.5,9062.400000035763
13,773903,774558.5999999642,655.5999999642372,774562,782779.5,8217.5,8873.099999964237
14,782779.5,783296.8999999762,517.3999999761581,783299.0999999642,791244.0999999642,7945,8462.399999976158
15,791244.0999999642,791865.7999999523,621.6999999880791,791870.6999999881,798924.1999999881,7053.5,7675.199999988079
16,798924.1999999881,799452.5,528.3000000119209,799454.0999999642,807843.2999999523,8389.199999988079,8917.5
17,807843.2999999523,808387.8999999762,544.6000000238419,808389.7999999523,814901.6999999881,6511.900000035763,7056.500000059605
