Iteration,Delagation Start,Delegation End,Delegation Time Taken,Verification Start,Verification End,Verification Time Taken,Total Time Taken
0,151860.09999990463,152193.29999995232,333.2000000476837,152195.90000009537,152336.70000004768,140.79999995231628,474
1,152337,152455,118,152456.20000004768,152571.70000004768,115.5,233.5
2,152571.79999995232,152689,117.20000004768372,152690.09999990463,152912.79999995232,222.70000004768372,339.90000009536743
3,152913,153028.59999990463,115.59999990463257,153029.70000004768,153144.59999990463,114.89999985694885,230.49999976158142
4,153144.59999990463,153259.90000009537,115.30000019073486,153261.09999990463,153379.29999995232,118.20000004768372,233.50000023841858
5,153379.5,153493.29999995232,113.79999995231628,153494.5,153607.20000004768,112.70000004768372,226.5
6,153607.20000004768,153722.20000004768,115,153723.59999990463,153842.40000009537,118.80000019073486,233.80000019073486
7,153842.59999990463,153958.90000009537,116.30000019073486,153960.40000009537,154074.29999995232,113.89999985694885,230.20000004768372
8,154074.40000009537,154193.29999995232,118.89999985694885,154195,154309.40000009537,114.40000009536743,233.29999995231628
9,154309.5,154423.70000004768,114.20000004768372,154424.70000004768,154539.20000004768,114.5,228.70000004768372
10,154539.40000009537,154652.5,113.09999990463257,154653.79999995232,154769.5,115.70000004768372,228.79999995231628
11,154769.5,154887.20000004768,117.70000004768372,154890.09999990463,155002.5,112.40000009536743,230.10000014305115
12,155002.70000004768,155120.5,117.79999995231628,155121.40000009537,155234.90000009537,113.5,231.29999995231628
13,155235,155350.79999995232,115.79999995231628,155352.79999995232,155464,111.20000004768372,227
14,155464.09999990463,155577.29999995232,113.20000004768372,155578.40000009537,155728.20000004768,149.79999995231628,263
15,155728.29999995232,155846.5,118.20000004768372,155847.29999995232,155965,117.70000004768372,235.90000009536743
16,155965.09999990463,156079.90000009537,114.80000019073486,156081.59999990463,156198.20000004768,116.60000014305115,231.400000333786
17,156198.29999995232,156351.5,153.20000004768372,156353,156470.40000009537,117.40000009536743,270.60000014305115
18,156470.5,156583.90000009537,113.40000009536743,156585.09999990463,156697.09999990463,112,225.40000009536743
19,156697.20000004768,156812.70000004768,115.5,156813.79999995232,156928.79999995232,115,230.5
20,156928.90000009537,157041.5,112.59999990463257,157042.79999995232,157157,114.20000004768372,226.79999995231628
21,157157.09999990463,157270,112.90000009536743,157271.09999990463,157387.79999995232,116.70000004768372,229.60000014305115
22,157387.79999995232,157502.40000009537,114.60000014305115,157503.5,157616.70000004768,113.20000004768372,227.80000019073486
23,157616.79999995232,157730.59999990463,113.79999995231628,157731.70000004768,157845.09999990463,113.39999985694885,227.19999980926514
24,157845.20000004768,157962.09999990463,116.89999985694885,157963.20000004768,158078.5,115.29999995231628,232.19999980926514
25,158078.59999990463,158194.70000004768,116.10000014305115,158195.79999995232,158310.09999990463,114.29999995231628,230.40000009536743
26,158310.09999990463,158423.20000004768,113.10000014305115,158424.5,158542.79999995232,118.29999995231628,231.40000009536743
27,158543,158659.79999995232,116.79999995231628,158661,158777.59999990463,116.59999990463257,233.39999985694885
28,158777.70000004768,158894.70000004768,117,158895.79999995232,159011.70000004768,115.90000009536743,232.90000009536743
29,159011.79999995232,159128.70000004768,116.90000009536743,159129.79999995232,159244.29999995232,114.5,231.40000009536743
30,159244.40000009537,159360.90000009537,116.5,159361.79999995232,159478.29999995232,116.5,233
31,159478.40000009537,159594.29999995232,115.89999985694885,159595.5,159710.90000009537,115.40000009536743,231.29999995231628
32,159710.90000009537,159824.29999995232,113.39999985694885,159825.20000004768,159941.40000009537,116.20000004768372,229.59999990463257
33,159941.5,160056.90000009537,115.40000009536743,160057.90000009537,160173.79999995232,115.89999985694885,231.29999995231628
34,160173.90000009537,160288,114.09999990463257,160289.09999990463,160403.40000009537,114.30000019073486,228.40000009536743
35,160403.59999990463,160518.20000004768,114.60000014305115,160519.5,160632.70000004768,113.20000004768372,227.80000019073486
36,160632.79999995232,160746.79999995232,114,160747.90000009537,160861.79999995232,113.89999985694885,227.89999985694885
37,160861.90000009537,160975.5,113.59999990463257,160976.70000004768,161089,112.29999995231628,225.89999985694885
38,161089,161202.79999995232,113.79999995231628,161204.09999990463,161318.59999990463,114.5,228.29999995231628
39,161318.70000004768,161433,114.29999995231628,161434.09999990463,161550.40000009537,116.30000019073486,230.60000014305115
40,161550.59999990463,161667,116.40000009536743,161668.29999995232,161787,118.70000004768372,235.10000014305115
41,161787.09999990463,161905.5,118.40000009536743,161907.5,162025,117.5,235.90000009536743
42,162025.20000004768,162140.40000009537,115.20000004768372,162141.59999990463,162256.29999995232,114.70000004768372,229.90000009536743
43,162256.40000009537,162407.09999990463,150.69999980926514,162409.29999995232,162524.29999995232,115,265.69999980926514
44,162524.40000009537,162641.59999990463,117.19999980926514,162643,162762,119,236.19999980926514
45,162762.09999990463,162874.09999990463,112,162875.29999995232,162989.79999995232,114.5,226.5
46,162990,163106,116,163107.29999995232,163221.20000004768,113.90000009536743,229.90000009536743
47,163221.20000004768,163335.5,114.29999995231628,163336.70000004768,163451.09999990463,114.39999985694885,228.69999980926514
48,163451.09999990463,163561.5,110.40000009536743,163562.59999990463,163680.09999990463,117.5,227.90000009536743
49,163680.20000004768,163791.70000004768,111.5,163792.79999995232,163907.79999995232,115,226.5
50,163907.79999995232,164019.09999990463,111.29999995231628,164020.09999990463,164134,113.90000009536743,225.20000004768372
51,164134.20000004768,164248.09999990463,113.89999985694885,164249.29999995232,164363.70000004768,114.40000009536743,228.29999995231628
52,164363.70000004768,164480.70000004768,117,164481.79999995232,164819.20000004768,337.40000009536743,454.40000009536743
53,164819.5,164936,116.5,164937.59999990463,165050.5,112.90000009536743,229.40000009536743
54,165050.59999990463,165164,113.40000009536743,165165.29999995232,165282.70000004768,117.40000009536743,230.80000019073486
55,165282.70000004768,165394.70000004768,112,165395.70000004768,165510.40000009537,114.70000004768372,226.70000004768372
56,165510.5,165624.90000009537,114.40000009536743,165626.09999990463,165740.09999990463,114,228.40000009536743
57,165740.20000004768,165858.40000009537,118.20000004768372,165859.79999995232,165976.09999990463,116.29999995231628,234.5
58,165976.20000004768,166091.90000009537,115.70000004768372,166093.09999990463,166207.40000009537,114.30000019073486,230.00000023841858
59,166207.5,166320.70000004768,113.20000004768372,166321.90000009537,166436.5,114.59999990463257,227.79999995231628
60,166436.5,166549.70000004768,113.20000004768372,166550.70000004768,166661.90000009537,111.20000004768372,224.40000009536743
61,166662.09999990463,166778.79999995232,116.70000004768372,166780.09999990463,166894.29999995232,114.20000004768372,230.90000009536743
62,166894.40000009537,167011,116.59999990463257,167012.20000004768,167123.90000009537,111.70000004768372,228.29999995231628
63,167124,167241.40000009537,117.40000009536743,167242.40000009537,167355.59999990463,113.19999980926514,230.59999990463257
64,167355.59999990463,167473.29999995232,117.70000004768372,167474.79999995232,167588.20000004768,113.40000009536743,231.10000014305115
65,167588.29999995232,167705.79999995232,117.5,167707,167818.90000009537,111.90000009536743,229.40000009536743
66,167818.90000009537,167931.79999995232,112.89999985694885,167932.79999995232,168045,112.20000004768372,225.09999990463257
67,168045.09999990463,168161,115.90000009536743,168163.79999995232,168275.90000009537,112.10000014305115,228.00000023841858
68,168276.09999990463,168389.40000009537,113.30000019073486,168390.40000009537,168502,111.59999990463257,224.90000009536743
69,168502.09999990463,168616.70000004768,114.60000014305115,168618,168737.90000009537,119.90000009536743,234.50000023841858
70,168737.90000009537,168854.40000009537,116.5,168855.79999995232,168973.20000004768,117.40000009536743,233.90000009536743
71,168973.29999995232,169086.90000009537,113.60000014305115,169088,169203,115,228.60000014305115
72,169203,169317.09999990463,114.09999990463257,169318,169433.29999995232,115.29999995231628,229.39999985694885
73,169433.29999995232,169548.5,115.20000004768372,169549.59999990463,169663.09999990463,113.5,228.70000004768372
74,169663.29999995232,169776.5,113.20000004768372,169777.59999990463,169891.79999995232,114.20000004768372,227.40000009536743
75,169891.90000009537,170006.59999990463,114.69999980926514,170007.59999990463,170122.70000004768,115.10000014305115,229.79999995231628
76,170122.79999995232,170235.5,112.70000004768372,170236.90000009537,170349.90000009537,113,225.70000004768372
77,170350,170468.79999995232,118.79999995231628,170469.79999995232,170643.29999995232,173.5,292.2999999523163
78,170643.40000009537,170756.5,113.09999990463257,170757.70000004768,170873.29999995232,115.59999990463257,228.69999980926514
79,170873.40000009537,170991.09999990463,117.69999980926514,170992.40000009537,171107.40000009537,115,232.69999980926514
80,171107.40000009537,171224.70000004768,117.29999995231628,171225.70000004768,171340.09999990463,114.39999985694885,231.69999980926514
81,171340.20000004768,171452,111.79999995231628,171453.09999990463,171565.09999990463,112,223.79999995231628
82,171565.20000004768,171677.59999990463,112.39999985694885,171678.79999995232,171795.09999990463,116.29999995231628,228.69999980926514
83,171795.20000004768,171910.40000009537,115.20000004768372,171911.40000009537,172024.40000009537,113,228.20000004768372
84,172024.5,172136.5,112,172137.79999995232,172253.5,115.70000004768372,227.70000004768372
85,172253.59999990463,172366.5,112.90000009536743,172367.59999990463,172481.59999990463,114,226.90000009536743
86,172481.70000004768,172594.40000009537,112.70000004768372,172595.40000009537,172710.59999990463,115.19999980926514,227.89999985694885
87,172710.70000004768,172826.90000009537,116.20000004768372,172827.79999995232,172938.59999990463,110.79999995231628,227
88,172938.59999990463,173056.20000004768,117.60000014305115,173057.40000009537,173169.20000004768,111.79999995231628,229.40000009536743
89,173169.29999995232,173282.5,113.20000004768372,173283.5,173394.70000004768,111.20000004768372,224.40000009536743
90,173394.79999995232,173509.09999990463,114.29999995231628,173510.70000004768,173625.09999990463,114.39999985694885,228.69999980926514
91,173625.20000004768,173738.59999990463,113.39999985694885,173739.70000004768,173852.79999995232,113.09999990463257,226.49999976158142
92,173852.79999995232,173968.70000004768,115.90000009536743,173969.59999990463,174079.79999995232,110.20000004768372,226.10000014305115
93,174079.90000009537,174193.59999990463,113.69999980926514,174194.59999990463,174308.29999995232,113.70000004768372,227.39999985694885
94,174308.29999995232,174421,112.70000004768372,174422.09999990463,174534.5,112.40000009536743,225.10000014305115
95,174534.59999990463,174648.20000004768,113.60000014305115,174649.20000004768,174764,114.79999995231628,228.40000009536743
96,174764,174877,113,174878,174993.90000009537,115.90000009536743,228.90000009536743
97,174993.90000009537,175108.79999995232,114.89999985694885,175110,175226.70000004768,116.70000004768372,231.59999990463257
98,175226.70000004768,175342.40000009537,115.70000004768372,175343.59999990463,175456.79999995232,113.20000004768372,228.90000009536743
99,175456.90000009537,175571.90000009537,115,175572.90000009537,175682.40000009537,109.5,224.5
100,175682.5,175795.70000004768,113.20000004768372,175797.59999990463,175923.20000004768,125.60000014305115,238.80000019073486
0,233139,233565.20000004768,426.2000000476837,233567.5,233683.90000009537,116.40000009536743,542.6000001430511
1,233684,233801.09999990463,117.09999990463257,233807,233925.90000009537,118.90000009536743,236
2,233925.90000009537,234041.09999990463,115.19999980926514,234042.59999990463,234155.20000004768,112.60000014305115,227.79999995231628
3,234155.29999995232,234268.59999990463,113.29999995231628,234269.70000004768,234390.70000004768,121,234.29999995231628
4,234390.79999995232,234510,119.20000004768372,234511.20000004768,234627.5,116.29999995231628,235.5
5,234627.59999990463,234744.40000009537,116.80000019073486,234745.90000009537,234865,119.09999990463257,235.90000009536743
6,234865,234981.59999990463,116.59999990463257,234982.90000009537,235097,114.09999990463257,230.69999980926514
7,235097.20000004768,235215.79999995232,118.59999990463257,235217,235330.5,113.5,232.09999990463257
8,235330.59999990463,235446.59999990463,116,235447.90000009537,235563.70000004768,115.79999995231628,231.79999995231628
9,235563.79999995232,235682.5,118.70000004768372,235683.59999990463,235802,118.40000009536743,237.10000014305115
10,235802.09999990463,235913.40000009537,111.30000019073486,235914.5,236026.20000004768,111.70000004768372,223.00000023841858
11,236026.29999995232,236143.90000009537,117.60000014305115,236145.09999990463,236262.29999995232,117.20000004768372,234.80000019073486
12,236262.29999995232,236379.59999990463,117.29999995231628,236380.79999995232,236492.29999995232,111.5,228.79999995231628
13,236492.5,236610.5,118,236611.5,236726.5,115,233
14,236726.59999990463,236844.20000004768,117.60000014305115,236845.40000009537,236959.09999990463,113.69999980926514,231.29999995231628
15,236959.20000004768,237077.5,118.29999995231628,237078.70000004768,237190.90000009537,112.20000004768372,230.5
16,237191,237305.79999995232,114.79999995231628,237307,237421.29999995232,114.29999995231628,229.09999990463257
17,237421.40000009537,237536.79999995232,115.39999985694885,237538.20000004768,237655.79999995232,117.59999990463257,232.99999976158142
18,237655.90000009537,237771.79999995232,115.89999985694885,237772.90000009537,237887.79999995232,114.89999985694885,230.7999997138977
19,237887.90000009537,238004.09999990463,116.19999980926514,238005.70000004768,238118.90000009537,113.20000004768372,229.39999985694885
20,238118.90000009537,238234.09999990463,115.19999980926514,238235.40000009537,238352.20000004768,116.79999995231628,231.99999976158142
21,238352.29999995232,238470,117.70000004768372,238471.29999995232,238585.40000009537,114.10000014305115,231.80000019073486
22,238585.40000009537,238700.5,115.09999990463257,238701.5,238820.79999995232,119.29999995231628,234.39999985694885
23,238820.79999995232,238934.40000009537,113.60000014305115,238935.59999990463,239050,114.40000009536743,228.00000023841858
24,239050.09999990463,239164.29999995232,114.20000004768372,239165.70000004768,239281.59999990463,115.89999985694885,230.09999990463257
25,239281.70000004768,239394,112.29999995231628,239395.09999990463,239512.5,117.40000009536743,229.70000004768372
26,239512.5,239626.90000009537,114.40000009536743,239628.29999995232,239745.29999995232,117,231.40000009536743
27,239745.40000009537,239860.5,115.09999990463257,239861.70000004768,239979.90000009537,118.20000004768372,233.29999995231628
28,239980,240097.09999990463,117.09999990463257,240097.90000009537,240207.70000004768,109.79999995231628,226.89999985694885
29,240207.90000009537,240321.20000004768,113.29999995231628,240322.40000009537,240439.5,117.09999990463257,230.39999985694885
30,240439.5,240559.09999990463,119.59999990463257,240560.29999995232,240675.59999990463,115.29999995231628,234.89999985694885
31,240675.70000004768,240791.90000009537,116.20000004768372,240793.20000004768,240909.29999995232,116.09999990463257,232.29999995231628
32,240909.40000009537,241029.90000009537,120.5,241032.90000009537,241154.09999990463,121.19999980926514,241.69999980926514
33,241154.5,241280.70000004768,126.20000004768372,241283.09999990463,241404.59999990463,121.5,247.70000004768372
34,241404.90000009537,241522.5,117.59999990463257,241524,241641.40000009537,117.40000009536743,235
35,241641.59999990463,241755.20000004768,113.60000014305115,241756.20000004768,241872.20000004768,116,229.60000014305115
36,241872.29999995232,241990.59999990463,118.29999995231628,241991.79999995232,242102.79999995232,111,229.29999995231628
37,242102.90000009537,242221,118.09999990463257,242222,242336.29999995232,114.29999995231628,232.39999985694885
38,242336.40000009537,242449.59999990463,113.19999980926514,242450.59999990463,242565.59999990463,115,228.19999980926514
39,242565.59999990463,242684,118.40000009536743,242685,242797,112,230.40000009536743
40,242797.09999990463,242911.5,114.40000009536743,242912.40000009537,243027.59999990463,115.19999980926514,229.59999990463257
41,243027.70000004768,243144.70000004768,117,243145.70000004768,243259.5,113.79999995231628,230.79999995231628
42,243259.59999990463,243430.59999990463,171,243431.5,243545.79999995232,114.29999995231628,285.2999999523163
43,243545.79999995232,243658.09999990463,112.29999995231628,243658.90000009537,243776.20000004768,117.29999995231628,229.59999990463257
44,243776.29999995232,243893.09999990463,116.79999995231628,243894,244004.59999990463,110.59999990463257,227.39999985694885
45,244004.59999990463,244119.59999990463,115,244121.09999990463,244238.29999995232,117.20000004768372,232.20000004768372
46,244238.40000009537,244362.79999995232,124.39999985694885,244365,244485.90000009537,120.90000009536743,245.29999995231628
47,244486,244612,126,244613.09999990463,244730.20000004768,117.10000014305115,243.10000014305115
48,244730.29999995232,244848.5,118.20000004768372,244850.09999990463,244966.79999995232,116.70000004768372,234.90000009536743
49,244966.90000009537,245095.20000004768,128.29999995231628,245098.20000004768,245221.40000009537,123.20000004768372,251.5
50,245221.40000009537,245531.70000004768,310.2999999523163,245533.20000004768,245647.29999995232,114.09999990463257,424.39999985694885
51,245647.40000009537,245761.09999990463,113.69999980926514,245762.5,245878.90000009537,116.40000009536743,230.09999990463257
52,245879,245993.90000009537,114.90000009536743,245995.70000004768,246114.70000004768,119,233.90000009536743
53,246114.79999995232,246232.09999990463,117.29999995231628,246233.79999995232,246347.5,113.70000004768372,231
54,246347.59999990463,246467,119.40000009536743,246469,246584.29999995232,115.29999995231628,234.70000004768372
55,246584.40000009537,246704.5,120.09999990463257,246707,246829.20000004768,122.20000004768372,242.29999995231628
56,246829.29999995232,246954.5,125.20000004768372,246957.09999990463,247071.70000004768,114.60000014305115,239.80000019073486
57,247071.70000004768,247186.09999990463,114.39999985694885,247187.79999995232,247308.09999990463,120.29999995231628,234.69999980926514
58,247308.29999995232,247437.29999995232,129,247440.20000004768,247554.20000004768,114,243
59,247554.40000009537,247673.20000004768,118.79999995231628,247674.40000009537,247789.20000004768,114.79999995231628,233.59999990463257
60,247789.29999995232,247911.40000009537,122.10000014305115,247912.79999995232,248029.70000004768,116.90000009536743,239.00000023841858
61,248029.79999995232,248145.40000009537,115.60000014305115,248147.09999990463,248266.40000009537,119.30000019073486,234.900000333786
62,248266.59999990463,248385.5,118.90000009536743,248387.09999990463,248507.59999990463,120.5,239.40000009536743
63,248507.79999995232,248651.59999990463,143.79999995231628,248652.90000009537,248766.09999990463,113.19999980926514,256.9999997615814
64,248766.20000004768,248885.59999990463,119.39999985694885,248888.40000009537,249005.90000009537,117.5,236.89999985694885
65,249006.09999990463,249130.40000009537,124.30000019073486,249132.79999995232,249249.70000004768,116.90000009536743,241.2000002861023
66,249250,249375.40000009537,125.40000009536743,249377.79999995232,249496.90000009537,119.10000014305115,244.50000023841858
67,249497.09999990463,249618.40000009537,121.30000019073486,249621.20000004768,249743.59999990463,122.39999985694885,243.70000004768372
68,249743.70000004768,249863.79999995232,120.09999990463257,249866.20000004768,249990,123.79999995231628,243.89999985694885
69,249990.09999990463,250112.29999995232,122.20000004768372,250114.59999990463,250236.40000009537,121.80000019073486,244.00000023841858
70,250236.5,250357.90000009537,121.40000009536743,250359.90000009537,250479.5,119.59999990463257,241
71,250479.70000004768,250606.40000009537,126.70000004768372,250608.90000009537,250730.59999990463,121.69999980926514,248.39999985694885
72,250730.70000004768,250854.40000009537,123.70000004768372,250857,250977.5,120.5,244.20000004768372
73,250977.70000004768,251099.5,121.79999995231628,251101.90000009537,251221.59999990463,119.69999980926514,241.49999976158142
74,251221.70000004768,251345.09999990463,123.39999985694885,251347.70000004768,251473.79999995232,126.09999990463257,249.49999976158142
75,251474.09999990463,251596.79999995232,122.70000004768372,251599.29999995232,251714,114.70000004768372,237.40000009536743
76,251714,251829.70000004768,115.70000004768372,251831.70000004768,251947.5,115.79999995231628,231.5
77,251947.70000004768,252065.20000004768,117.5,252067.40000009537,252185.90000009537,118.5,236
